,precision,recall,f1-score,support
apple leaf,0.8235294117647058,0.7,0.7567567567567568,20.0
apple rust leaf,1.0,0.5625,0.72,32.0
apple scab leaf,0.6153846153846154,0.75,0.676056338028169,32.0
bell pepper leaf,0.6666666666666666,0.75,0.7058823529411765,8.0
bell pepper leaf spot,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0
blueberry leaf,0.6470588235294118,1.0,0.7857142857142857,11.0
cherry leaf,0.6666666666666666,0.4,0.5,10.0
corn gray leaf spot,0.45,0.6,0.5142857142857142,15.0
corn leaf,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
corn leaf blight,0.6842105263157895,0.5652173913043478,0.6190476190476191,23.0
corn rust leaf,0.9,0.8571428571428571,0.8780487804878049,21.0
grape leaf,0.7058823529411765,1.0,0.8275862068965517,12.0
grape leaf black rot,0.625,0.625,0.625,8.0
peach leaf,0.8571428571428571,0.6666666666666666,0.75,9.0
potato leaf blight,0.3,0.5454545454545454,0.3870967741935484,11.0
potato leaf early blight,0.17647058823529413,0.375,0.24,8.0
potato leaf late blight,0.0,0.0,0.0,8.0
potato leafroll virus,0.9,0.8181818181818182,0.8571428571428571,11.0
raspberry leaf,0.5454545454545454,0.8571428571428571,0.6666666666666666,7.0
soyabean leaf,1.0,0.375,0.5454545454545454,8.0
squash powdery mildew leaf,1.0,0.6666666666666666,0.8,6.0
strawberry leaf,0.8888888888888888,1.0,0.9411764705882353,8.0
tomato leaf,0.4583333333333333,0.5789473684210527,0.5116279069767442,19.0
tomato leaf bacterial spot,0.6666666666666666,0.2,0.3076923076923077,20.0
tomato leaf early blight,0.8,0.2,0.32,20.0
tomato leaf late blight,0.875,0.3333333333333333,0.4827586206896552,21.0
tomato leaf mosaic virus,0.5,0.4,0.4444444444444444,10.0
tomato leaf powdery mildew,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
tomato leaf yellow virus,0.625,0.8333333333333334,0.7142857142857143,6.0
tomato mold leaf,0.5,0.6470588235294118,0.5641025641025641,17.0
tomato septoria leaf spot,0.5277777777777778,0.8636363636363636,0.6551724137931034,22.0
accuracy,0.619815668202765,0.619815668202765,0.619815668202765,0.619815668202765
macro avg,0.6537295604957645,0.6317555948049891,0.6087320246034831,434.0
weighted avg,0.6781402632328571,0.619815668202765,0.6106653269551731,434.0
